district,chiefdom,phu_name
Port Loko,Bureh Kasseh,Bureh Kasseh CHC
Port Loko,Bureh Kasseh,Bureh Town MCHP
Port Loko,Kaffu Bullom,Kaffu Bullom CHC
Port Loko,Kasseh,Mange CHC
Port Loko,Kasseh,Mohamed CHC
